,Annualized Return,Annualized Volatility,Max Drawdown
HDFCBANK.NS,0.12696069334599305,0.1940646904716591,-0.19913778900702694
ICICIBANK.NS,0.18988690433110222,0.18312916197575546,-0.1424073834617755
INFY.NS,0.021421593173925273,0.23927501080978616,-0.3015202191373787
RELIANCE.NS,0.06527813544406587,0.20563822496904416,-0.2717574500782327
TCS.NS,-0.0038017427642155167,0.19914417187108285,-0.3292007248389083
Equal-Weight Portfolio,0.07994911670617419,0.141251632614739,
